k,mean_distance
4,0.2820738348866626
5,0.3310422148019103
6,0.3722027978156608
7,0.4083770755600454
8,0.440262370743814
9,0.47134322922351407
10,0.49841171434514536
11,0.5251101423408948
12,0.5505403742060468
13,0.5728665470514416
14,0.5957996835177646
15,0.6167793943720576
16,0.6357078915782828
17,0.6560409996990543
18,0.6752222053646342
19,0.6926343234352966
20,0.70971517658896
21,0.7273282657368098
22,0.7447820655130761
23,0.7620368401559294
24,0.7778821992122148
25,0.7935722157077023
26,0.8095465706776372
27,0.8243539346787343
28,0.8392319022483112
29,0.8535146047287431
30,0.8681232127974906
31,0.8815248019821001
32,0.8957704450658784
33,0.9093701422559802
34,0.923207612427623
35,0.9377048691793073
36,0.9506065191518656
37,0.9632689261060834
38,0.9767857036932176
39,0.9889662013603326
40,1.0008215457607867
41,1.0134325937946644
42,1.0253190331950004
43,1.0376027811093684
44,1.0498869870139855
45,1.0616903080040663
46,1.0737007193392933
47,1.085605397409723
48,1.0973569417115492
49,1.1088305728331067
50,1.120224577630403
51,1.1319631231884781
52,1.1431438896665873
53,1.1533526265698966
54,1.1647665345693994
55,1.1751399699177905
56,1.1856887604016224
57,1.1969880186348403
58,1.2074501993146645
59,1.2178978806698597
60,1.227800190460394
61,1.238192405880188
62,1.2491711943652068
63,1.2593050651029525
64,1.2699908400060835
65,1.280268917663708
66,1.291055961620083
67,1.3016906402547548
68,1.3120493218926204
69,1.3225524411575111
70,1.3325563128974347
71,1.3425403059315226
72,1.3522731340257361
73,1.362850206799705
74,1.3729079090735004
75,1.3827921826984146
76,1.392562587139863
77,1.4029528433728329
78,1.412848643712603
79,1.4234951330741077
80,1.4337284341812737
81,1.444061085032078
82,1.4544867184047658
83,1.464147799129992
84,1.4738217198589743
85,1.4840355707238786
86,1.4939327589489804
87,1.503981200301577
88,1.5135984449007047
89,1.523309846338373
90,1.5330197718337508
91,1.5432646617035355
92,1.5529532285559284
93,1.5632392906630894
94,1.573155002850795
95,1.5828287615453773
96,1.5929340609297484
97,1.6025540809918604
98,1.6119297164350883
99,1.6214461961508486
100,1.631134743514267
101,1.6410316285143802
102,1.6511067301183506
103,1.6609203645740271
104,1.6708713724350786
105,1.6811220276381451
106,1.6912491983512452
107,1.7017295768268004
108,1.711434330383385
109,1.721440996127115
110,1.7315554691193447
111,1.7417878229837012
112,1.7518473817376659
113,1.76216936950102
114,1.772333964380433
115,1.7828509385296862
116,1.7926680877628656
117,1.8039532401739624
118,1.8146581865213696
119,1.824575754501664
120,1.835767038414388
121,1.8461255556185947
122,1.8567061263668387
123,1.867136438984669
124,1.877839474244366
125,1.8875356861122123
126,1.8983154770950932
127,1.9086635499739575
128,1.919428630666769
129,1.9299218488938548
130,1.9403725987299814
131,1.9508930074551107
132,1.9614546450452852
133,1.9722478159359367
134,1.9832517180365734
135,1.994633074625582
136,2.005844326123223
137,2.016369314704412
138,2.0272623127340044
139,2.038482316533089
140,2.0497619961057993
141,2.0607598967682605
142,2.072339098643016
143,2.08381338821047
144,2.095650107249785
145,2.1076231012227464
146,2.1193432750485535
147,2.1311956220466484
148,2.1432403875127455
149,2.155438128989963
150,2.1678443610799594
151,2.1802163547649305
152,2.192290450310292
153,2.2050699918737484
154,2.218197902663322
155,2.2313078550491365
156,2.2447741977798907
157,2.258059750903684
158,2.270349877343354
159,2.284166307462182
160,2.29799964323233
161,2.3113724554588764
162,2.3250905598879323
163,2.339481015970159
164,2.3531196070956772
165,2.36729833417221
166,2.3812309376107788
167,2.396632159179851
168,2.412459350224167
169,2.4278277676508497
170,2.4429981216078267
171,2.4587792745949493
172,2.4756151961747745
173,2.4935766482046535
174,2.5117559492710613
175,2.5289993656157805
176,2.545849816482632
177,2.5639856729429495
178,2.582594605330775
179,2.601597626351543
180,2.621069144991194
181,2.6406680675016734
182,2.661760032461988
183,2.6830353444026094
184,2.704876164757915
185,2.7295167645295786
186,2.7530964753316876
187,2.77702065506744
188,2.8041295129651114
189,2.830931290917495
190,2.8578108130149045
191,2.8874829751601374
192,2.914536999497107
193,2.9448068387431228
194,2.983394323372281
195,3.0198260829756554
196,3.0571337672960697
197,3.1094768431108384
198,3.173131552240014
199,3.2575615808000014
200,3.3801874166549406
